"from",                            "subject",                                                    "body"
"forest.whisperer@naturemail.com", "Re: Ihre Amazon Bestellung Nr. 100001, Kundennummer 100010", "Sehr geehrte Damen und Herren,\n\nbitte stornieren Sie meine Bestellung.\n\nMfG,\n\n   ForestWhisperer\n\n---\nFrom: Amazon Shopping <shopping@amazon.com>\nTo: forest.whisperer@naturemail.com\nSubject: Ihre Amazon Bestellung Nr. 100001, Kundennummer 100010\n\nHallo ForestWhisperer,\n\nIhre Bestellung 100001 ist eingegangen und wird bearbeitet.\n\nVielen Dank für Ihren Einkauf bei AS ArcherySupplies via Amazon Shopping."
"digital.nomad@wandermail.com",    "Stornierung Bestellung #170001",                             "Sehr geehrtes AS ArcherySupplies Team,\r\n\r\nleider muss ich meine Bestellung #170001 stornieren. Ich bin beruflich ins Ausland versetzt worden und werde in den nächsten Monaten nicht in Deutschland sein.\r\n\r\nBitte bestätigen Sie mir die Stornierung.\r\n\r\nMit freundlichen Grüßen\r\nDaniel Wanderer"
"cosmic.wanderer@starmail.com",    "Re: Ihre Bestellung wurde versandt",                         "Sehr geehrtes AS ArcherySupplies Team,\r\n\r\nIch bin ehrlich gesagt ziemlich enttäuscht von meiner Lieferung. Der gelieferte Bogen ist komplett in Blau gehalten, obwohl ich eindeutig die grüne Variante bestellt hatte. Das ist nicht einfach nur ein kleiner Fehler - die Farbe war mir sehr wichtig, da der Bogen zu meiner bestehenden Ausrüstung passen sollte.\r\n\r\nIch erwarte eine umgehende Rücknahme und Ersatzlieferung in der korrekten Farbe.\r\n\r\nMit freundlichen Grüßen\r\nMartin Weber"
"wave.rider@oceanmail.com",        "Stornierung der Bestellung #190002",                         "Hallo AS ArcherySupplies,\r\n\r\nhiermit storniere ich meine Bestellung mit der Nummer 190002. Nach Rücksprache mit meinem Trainer sollte ich doch ein anderes Modell wählen.\r\n\r\nVielen Dank für Ihr Verständnis.\r\n\r\nBeste Grüße\r\nMarina Wellen"
"anna.mueller@gmail.com",          "Beschwerde zu fehlender Lieferung",                          "Guten Tag,\r\n\r\nleider muss ich Sie darüber informieren, dass in meiner heute erhaltenen Lieferung der bestellte Köcher komplett fehlt. Ich habe die Bestellung genau überprüft, aber er ist definitiv nicht dabei. Auf dem Lieferschein ist er aufgeführt, also sollte er eigentlich dabei sein.\r\n\r\nBitte senden Sie mir den fehlenden Köcher schnellstmöglich nach. Ich brauche ihn dringend für das Training am nächsten Wochenende.\r\n\r\nVielen Dank im Voraus für Ihre Bemühungen.\r\n\r\nBeste Grüße\r\nAnna Müller"
"urban.explorer@cityscape.net",    "Stornierung Bestellung 110001",                              "Hallo zusammen,\r\n\r\nbitte stornieren Sie meine Bestellung mit der Nummer 110001. Ich habe mich für einen anderen Sport entschieden.\r\n\r\nDanke im Voraus!\r\n\r\nViele Grüße\r\nUwe Urban"
"pixel.ninja@dataverse.net",       "Re: AS Order Confirmation",                                  "WAS ZUM TEUFEL SOLL DAS???\r\n\r\nIch habe EINDEUTIG Carbonpfeile bestellt und jetzt bekomme ich so einen Haufen billiger Holzpfeile zugeschickt? Sind Sie eigentlich noch ganz bei Trost? Die kann ich nicht mal für mein Training verwenden!\r\n\r\nSofortige Rücknahme! Und diesmal bitte die RICHTIGEN Pfeile schicken!\r\n\r\nTotal verärgert,\r\nThomas Schmidt"
"retro.gamer88@pixelmail.com",     "Stornierung Order #120001",                                  "Hallo AS ArcherySupplies Team,\r\n\r\nbitte stornieren Sie meine Bestellung #120001. Ich habe gerade erfahren, dass unser Verein die Ausrüstung stellt und ich nichts selbst kaufen muss.\r\n\r\nMit freundlichen Grüßen\r\nRobert Retro"
"max.archery@outlook.com",         "Re: Ihre Bestellung bei AS ArcherySupplies",                 "Hallo AS ArcherySupplies Team,\r\n\r\nIch habe gerade die Lieferung meiner Pfeile ausgepackt und bin gelinde gesagt schockiert. Alle zwölf Pfeile haben unterschiedliche Längen! Die Abweichungen betragen bis zu 2cm. Das kann doch nicht Ihr Ernst sein?\r\n\r\nIch bin seit 15 Jahren Bogenschütze und habe noch nie eine so mangelhafte Lieferung erhalten. Diese Pfeile sind für einen ernsthaften Schützen völlig unbrauchbar.\r\n\r\nBitte nehmen Sie die Pfeile zurück und senden Sie mir einen ordentlich gematchten Satz.\r\n\r\nMit freundlichen Grüßen\r\nMax Berger"
"tea.master@brewmail.com",         "Re: AS Order Confirmation #150002",                          "Mach weg!"
